link,image_url
https://www.allrecipes.com/recipe/17891/golden-sweet-cornbread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F26%2Fcornbread-1.jpg
https://www.allrecipes.com/recipe/114417/belles-hamburger-buns/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1073329.jpg
https://www.allrecipes.com/recipe/273107/basic-pizza-dough/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2525576.jpg
https://www.allrecipes.com/recipe/71899/pan-de-sal-filipino-bread-rolls/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F784555.jpg
https://www.allrecipes.com/recipe/157642/homemade-flour-tortillas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F-0001%2F11%2F30%2F663757.jpg
https://www.allrecipes.com/recipe/283940/chef-johns-milk-bread/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F11%2F04%2Fimage-360.jpg
https://www.allrecipes.com/recipe/22797/dianas-hawaiian-bread-rolls/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F50654.jpg
https://www.allrecipes.com/recipe/221286/traditional-mexican-guacamole/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F848092.jpg
https://www.allrecipes.com/recipe/14811/creamy-dill-cucumber-toasties/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F06%2F18%2Fcreamy-dill-cucumber-toasties.jpeg
https://www.allrecipes.com/recipe/73135/homestyle-potato-chips/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F03%2F5054024.jpg
https://www.allrecipes.com/recipe/223491/fully-loaded-deviled-eggs/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6463235.jpg
https://www.allrecipes.com/recipe/69225/strawberry-bruschetta/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1281203.jpg
